,고객ID,거주지,cluster,A_상반기_가구/인테리어_변화,B_상반기_가구/인테리어_변화,A_상반기_디지털/가전_변화,B_상반기_디지털/가전_변화,A_상반기_생활/건강_변화,B_상반기_생활/건강_변화,A_상반기_스포츠/레저_변화,B_상반기_스포츠/레저_변화,A_상반기_식품_변화,B_상반기_식품_변화,A_상반기_패션의류_변화,B_상반기_패션의류_변화,A_상반기_패션잡화_변화,B_상반기_패션잡화_변화,A_상반기_화장품/미용_변화,B_상반기_화장품/미용_변화,A_하반기_가구/인테리어_변화,B_하반기_가구/인테리어_변화,A_하반기_디지털/가전_변화,B_하반기_디지털/가전_변화,A_하반기_생활/건강_변화,B_하반기_생활/건강_변화,A_하반기_스포츠/레저_변화,B_하반기_스포츠/레저_변화,A_하반기_식품_변화,B_하반기_식품_변화,A_하반기_패션의류_변화,B_하반기_패션의류_변화,A_하반기_패션잡화_변화,B_하반기_패션잡화_변화,A_하반기_화장품/미용_변화,B_하반기_화장품/미용_변화,구매감소
13,26,부산시,6,0,0,0,0,-38.8961683,0,-7.89674816,0,-40.49033901,0,-81.04250487,0,-51.85022126,0,-10.27364725,0,-99.69402068,0,-85.49643089,0,-40.19963452,-96.37195122,62.05268163,0,-21.65958185,501.6018519,-49.69687312,0,-51.39302484,0,-14.42982198,-100,TRUE
14,28,서울시,6,0,0,0,0,0,-11.25678905,0,0,-58.01990521,-33.79506986,0,-100,-100,-70.95744681,265,1197.745098,0,228.7878788,0,0,0,23.34792123,0,0,780.25,-44.95347661,0,-100,-100,-100,0,-35.80709645,FALSE
15,30,서울시,6,91.90002617,0,0,0,-91.08164327,0,-84.79638009,0,-18.49276602,0,-14.30527648,0,-29.398535,0,133.1326732,0,-71.36706136,0,0,0,55.1203966,-100,0,0,-42.29466763,-100,-40.36905762,0,-71.93516113,0,25.53404247,0,FALSE
16,31,경기도,6,0,0,-100,0,-49.3321398,0,0.434782609,0,-5.565714984,-100,370.6343284,0,-92.32436568,0,172.513369,0,-57.14750895,0,0,0,-25.4248366,0,0,0,-12.2803981,0,-70.72084783,0,-4.73245614,0,-82.89237668,0,TRUE
17,32,경기도,6,0,0,0,0,-92.89157862,-32.94204564,-37.34871939,0,-58.87217756,46.30152921,-100,0,-69.76744186,-100,0,132.2144893,0,0,0,0,-27.97766083,-10.83129584,-17.85885167,0,-40.80409048,-23.71194969,0,0,-100,334,0,-14.66673297,FALSE
18,34,서울시,6,777.3333333,0,0,0,-10.54094464,0,-100,0,-55.17032717,0,9.595627682,0,-96.66967575,0,-38.75,0,0,0,0,0,-80.58352894,0,0,0,-71.08751891,0,-9.378378378,0,-100,0,-59.44091487,0,TRUE
19,35,울산시,6,-47.675,0,0,0,259.8313833,-14.21409528,-54.8952381,0,87.66686207,-51.59784688,-12.45291371,-100,-64.90973427,-83.89041096,-51.93653782,-100,-48.49056604,0,0,0,115.4925301,-28.99445565,0,0,30.25118272,48.1670276,46.82588295,-100,-80.81540681,-63.15789474,0,0,FALSE
20,37,서울시,2,-100,0,0,0,45.30120482,-100,-39.47368421,0,7.84923673,-73.46405229,172.7794111,0,-74.77477477,-100,711.6509695,0,-11.85185185,0,0,0,-34.86058416,0,-29.64196838,0,-42.91439164,402.5276753,-84.18072063,0,-69.87369058,0,-66.06419419,0,FALSE
21,38,서울시,6,-75.86206897,94.88372093,0,0,0,3.59987825,0,-94.88517745,-39.62339776,-27.92636134,-52.63594853,-98.77750611,771.7333333,13.75,36.61290323,-60.30948046,40.46666667,30.14367816,0,0,-30.08235294,-13.9370438,0,-100,1.022692052,-33.52510864,153.8576676,-89.68115942,1816.25,-91.05882353,41.96428571,-86.3790932,FALSE
22,39,서울시,6,-100,0,0,0,-84.87967676,0,0,0,-17.90581107,0,-78.1111179,0,-100,0,-82.46902169,0,0,0,0,0,-20.1617401,0,0,0,-52.73162432,0,7.686962777,0,4661.925,0,-73.55267168,0,TRUE
23,43,경기도,2,0,0,0,0,0,-27.9889286,0,0,-100,-24.52255527,-100,-67.23404255,-100,-92.85714286,0,-94.08575032,0,0,0,0,0,-63.61613511,0,0,-100,11.96929958,-100,-17.86666667,0,0,0,-56.0178721,TRUE
24,44,서울시,4,0,0,-93.41584158,0,-61.43923611,0,-66.44067797,0,-36.54659587,29.46906305,19.87398604,0,-27.04050371,0,0,0,-100,0,0,0,-100,-10.46628407,16.88995215,0,-62.83022428,-34.47946514,-86.21435475,150.5789474,157.7740708,0,0,0,TRUE
25,45,경기도,6,-100,-100,0,0,271.875,-44.64122137,0,0,77.22892155,-40.90280109,107.5179527,0,-70.99775945,-100,1.466466466,0,0,0,0,0,-98.11269884,-60.86021505,-18.85695552,0,-24.81773769,-86.31083914,-24.40600722,271,-55.18066903,0,-51.35187312,-66.25,FALSE
26,46,서울시,6,25.74024991,0,1709.5,0,-100,-100,-10.75,0,17.50429441,-100,-88.7097764,0,928.4352213,0,-55.4764268,0,-100,0,992.0243902,0,1126.28866,0,-15.69035509,0,-37.589179,58.16299559,1536.373708,0,-62.75111297,0,37.44263561,0,FALSE
27,47,서울시,6,-100,0,0,0,-100,-36.27486075,-67.61904762,19.58333333,-68.64355469,-57.45460746,-100,-86.05932203,-71.48325359,61.31612903,0,-100,0,-86.59574468,-9.628008753,0,0,-65.70372849,126.6608187,-50.8522283,-63.03783015,-61.07593425,-99.52457338,17.95949561,-84.29710867,98.53191489,0,-100,TRUE
28,48,인천시,6,1745.984729,0,-100,0,12.80330975,63.79520365,10.01492537,0,-39.0938792,-100,14.74725223,0,-95.57251426,0,0.441311522,0,2.634593356,0,-95.50604589,0,39.70669789,403.2614679,12.04268293,0,-55.03211376,0,41.44609154,0,-47.4061945,0,-40.1714056,0,FALSE
29,49,서울시,6,2408.206522,0,6.711111111,0,134.4526776,0,-50.64748201,0,-44.69523242,-100,-52.47712417,0,-37.21628143,0,76.23921222,0,-3.811599061,0,0,0,-33.38298577,0,0,0,-33.3762068,-100,65.24514971,0,-50.05706293,0,-77.59320205,0,FALSE
30,50,서울시,6,-93.66420275,0,0,0,-75.73696188,-6.78615917,-41.28915423,-72.14285714,-48.41426293,51.84912603,-66.55654158,-60.55084746,-84.10415616,-32.11136891,-14.78928136,185.36,-53.27992958,-100,0,0,-88.44341702,74.35260116,-48.76828266,0,-17.43601128,99.01200369,-28.3863509,0,444.2769231,190,-61.72445049,344.2307692,TRUE
31,51,인천시,6,584.32,-100,-100,0,-40.2003643,-84.78844048,30.80291971,-100,32.36467058,-89.71764566,-94.62117719,-100,-80.87952927,-82.5,-61.426099,-98.61614498,286.4814815,-100,-99.56701031,0,11.10279611,-51.53344399,-51.57748049,-100,-32.38471944,-65.35722036,-71.00912692,-54.67625899,179.2631579,-100,-100,118.0866426,TRUE
32,52,서울시,6,229.4749829,0,-100,0,213.2631579,0,-47.0408911,0,112.1709079,0,-72.28828955,0,51.57760814,0,30.38416764,0,-100,0,-44.20289855,0,-81.46186441,0,-100,0,-48.39296736,0,-40.85275337,-100,-57.75023763,0,22.86762845,0,TRUE
33,54,경기도,6,0,0,0,0,-54.35036429,0,0,0,-37.55947692,-100,-57.66152976,0,32.57575758,0,-60.92109935,0,0,0,0,0,-73.60401124,0,0,0,-16.08353027,0,-100,0,230.5630137,0,-43.19211103,0,TRUE
34,55,경기도,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.060606061,0,0,0,0,0,-100,0,-100,0,-5.5,0,0,0,0,0,-62.51184834,TRUE
35,56,경기도,6,128.8625508,0,-100,0,1698.567416,-100,0,0,-57.11583637,-100,-11.29852087,0,9.903787513,0,0,-100,-95.60767327,0,0,0,-88.77859429,0,-100,0,13.73827479,0,-19.16001163,0,270.4125115,0,0,0,FALSE
36,57,경기도,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.4,0,-100,0,0,-100,0,0,0,0,-100,FALSE
37,58,서울시,6,80.33076923,0,458.5858586,0,-9.834755808,0,-100,0,-19.82225349,-100,-33.42748519,0,0,0,-100,0,-38.06652361,0,0,0,-44.1861642,0,-96.97788304,0,-13.76737974,0,-18.28953269,0,-29.08125,0,0,0,TRUE
38,59,서울시,6,-100,0,-100,0,0,0,0,0,0.923611151,-19.35025741,-62.62532593,0,-72.63212135,0,-67.09011944,0,-38.06451613,0,0,0,-97.01851852,-100,0,0,-27.75459517,-78.43174771,-23.14011587,0,-100,0,122.8208556,-100,TRUE
39,60,서울시,6,0,44.16545718,-35.5210325,0,372.9487179,-44.88611804,70,0,75.22686491,-41.50987977,-13.26789254,-94.95511443,-100,22.40437158,24.28001294,-25.61689515,0,32.74650412,11.97139939,0,6126.92,15.88507625,-29.66354242,-100,-35.78939126,-26.82282165,-33.29652901,-100,-100,-100,116.4994279,-32.59737597,FALSE
40,61,서울시,2,-95.07865169,-4.489740082,-100,0,24.64351005,-51.27743203,0,0,-84.19682906,14.19062698,-87.86806662,-20.48525469,-94.93719071,0,-38.23880173,-45.67665221,553.5666667,75,0,0,-100,-85.912527,-87.67025391,0,-61.19867013,-41.36942849,73.41142737,35.02796421,35.20657384,0,88.12572183,38.44215261,TRUE
41,62,부산시,6,-14.93670886,0,0,0,0,-79.646308,31.68226333,0,-14.11416728,-53.89898188,-45.64586357,0,-97.66977364,-100,0,-100,0,0,0,0,-100,-82.48256673,-71.64484937,0,-7.173007715,-42.56476955,-88.77217885,0,1.105128205,0,0,83.89830508,TRUE
42,63,경기도,6,0,0,0,0,-21.00575649,0,0,0,-27.88166996,0,44.48788116,0,677,0,258.1666667,0,0,0,0,0,-56.37261146,0,0,0,-34.03687721,0,109.2553191,0,735.3333333,0,-29.03287772,0,FALSE
43,65,서울시,4,47.61658031,0,-96.17105917,0,-58.40157719,24.61280488,-61.69457468,0,-13.42288814,44.43197357,184.9835123,-100,2788.581818,366.6666667,-100,0,-89.76591136,0,47.4916388,0,-78.4371672,119.7611111,352.1080508,0,-21.41814832,-36.0092773,-64.44052045,-89.19753086,448.6764706,0,-46.15384615,-91.13669065,FALSE
44,66,서울시,6,0,-100,-100,0,-99.84,-28.54337759,0,0,36.83151921,-16.45604003,-73.65012996,0,-100,-54.38202247,0,-39.38461538,0,0,-100,0,-88.1,-75.808787,0,51.88679245,-21.34024982,-42.73016884,113.8579165,-100,0,0,0,-79.1215526,TRUE
45,67,서울시,6,0,153.4848485,0,0,0,-42.17322263,0,0,0,20.23443755,-25.30201342,0,0,0,0,-23.79419525,0,-79.14893617,0,0,0,-20.72215887,0,-100,-100,-3.318536392,-100,0,-100,-100,0,-11.72929293,FALSE
46,69,경기도,2,0,0,0,0,0,-98.41680129,0,0,0,-86.56216074,0,-100,0,-100,0,-100,0,0,0,0,0,49.8,0,0,0,-16.5372819,0,0,0,0,0,0,FALSE
47,71,서울시,6,0,0,0,0,-100,-19.1022259,0,0,-100,-16.37684895,0,0,0,0,0,-59.61752988,0,-100,0,0,0,-27.5138539,0,0,0,-26.80058029,0,-76.82274247,0,0,0,-100,FALSE
48,72,경기도,6,-100,0,0,0,0,551.731987,0,0,156.9913043,23.03465631,-100,-56.75917637,-100,35.6,0,10.84493042,0,0,0,0,0,-6.843913509,0,-83.84615385,-78.02690583,-28.16935745,-26.37681159,-9.732360097,-100,-7.777777778,0,12.91522292,FALSE
49,73,부산시,6,-64.72315635,0,-61.40270123,0,-91.49283994,0,-45.4665723,0,-62.83511239,-98.40430862,-12.68879489,-100,-94.00284875,0,34.10752296,0,-100,0,3839.886364,0,138.5248516,-88.33333333,-3.234509195,0,-64.32284683,-95.61630772,-46.08090893,0,-78.9349668,0,-27.3670855,0,TRUE
50,74,서울시,6,-28.91072135,0,-100,0,-50.88868101,85.17342452,-100,0,-30.36165386,2322.887324,-79.64959121,187.4666667,-90.66567576,-100,-92.11668928,-83.84615385,-56.04532164,0,0,0,-100,-100,-100,0,-45.05819596,344.7692308,-85.45804865,-59.421875,-76.53695278,-48.7804878,-85.09652773,101.9230769,TRUE
51,76,경기도,2,-70.18869427,0,-100,0,-33.23685139,-100,-16.57594937,0,-24.04736027,-74.32291822,435.9701493,-4.530516432,-40.97769029,-100,0,0,-31.61616162,0,0,0,-65.67741935,-100,-80.2739726,0,30.41743401,-100,-0.948948949,-100,-31.07692308,-100,-100,0,FALSE
52,77,부산시,6,0,-86.7,0,0,-58.85564938,376.2033195,-100,0,-34.09825566,171.0021119,-54.07944042,0,-78.69521372,0,-15.5531315,397.3043478,0,0,0,0,-46.7780015,-47.0476606,0,-100,-36.53233714,-40.90238242,-59.96599127,-28.24854045,111.9770799,-73.23026851,100.1293139,-49.46125347,FALSE
53,78,경기도,6,513.8113924,-100,0,0,241.1651376,-70.39011782,112.4194705,0,52.50654684,278.0134539,15.82662824,0,300.8089549,-100,-47.55241265,207.3170732,-73.81740579,-100,-9.240037071,0,-86.00788868,-68.27366822,-50.48695759,-100,-24.78352354,-24.82883269,14.10110364,-86.99222937,-19.50441822,-80.12399256,-26.61290323,-100,FALSE
54,79,서울시,2,0,0,0,0,294.9714286,-48.24258131,0,-100,-2.734438706,-26.39832243,-84.65254552,-77.7582846,-100,-74.2037037,-4.360465116,-30,0,-100,0,0,-100,-16.55935914,-100,76.65789474,-41.14582867,-28.28721378,-54.85248943,-78.42241827,-48,-92.30346344,0,-100,TRUE
55,80,서울시,6,-77.6119403,-100,0,0,600,-90.40730872,0,0,6.8866171,-24.41688273,0,0,0,0,1.111111111,1431.25,7.1875,0,0,0,-11.15384615,32.13483146,0,-100,17.80010173,35.12055946,8.892165122,0,3885.8,0,-97.15634474,79.0990991,FALSE
56,81,서울시,6,-76.84461133,0,0,0,235.8508704,0,0,0,7.00332241,-36.92699757,-27.03446921,-100,177.3629604,-88.02312139,0.92042186,0,-81.7191894,0,-99.80426527,0,238.3333333,-86.97798026,-56.04237288,0,-9.727039342,-44.8363027,-33.34764166,-100,1260.45122,-100,40.76688984,0,FALSE
57,82,서울시,6,-47.96878986,998.5625,0,-100,-94.8236246,-42.81253978,29.19178434,0,9.545865096,-23.34506258,12.82472791,0,-96.11681947,0,194.3961559,-87.35443038,-84.924983,-50.34602076,0,-100,-79.65811966,-62.25309025,195.6844553,0,-43.42937325,-77.0755909,1.177416454,-77.4024024,-84.67482108,-100,-29.46681401,-18.44862745,FALSE
58,83,서울시,4,0,0,73.95,0,-55.21854305,-87.91362683,6.627027027,0,-30.62783077,-0.072171795,-1.268470187,91.85185185,-96.68118648,0,380.1853759,0,0,0,0,0,-6.97167756,7.364993216,207.454262,0,-25.50167345,-72.90624456,-26.46007387,40,-0.175397568,0,-3.110106183,-73.44827586,FALSE
59,84,경기도,6,-83.80151478,0,939.2333569,0,56.37649619,-75.88254121,67.83610272,-100,-4.529005066,-30.04778973,-81.67771234,0,227.8648718,0,-4.032809296,0,-34.54235668,0,-100,0,-100,-100,-52.13162851,0,20.70717637,-97.29021663,-51.8045274,0,443.0333634,0,-97.81676413,0,FALSE
60,85,경기도,6,71.78,0,0,0,-12.59962049,0,0,0,165.5927177,0,350.6709062,0,238.1843972,0,-31.74780839,0,-100,0,0,0,221.3684455,0,0,0,24.80829115,0,930.515625,0,-96.70548915,0,94.00246305,0,FALSE
61,86,경기도,6,39.15662651,-100,0,0,0,-45.8750951,-100,0,21.36932902,24.14046199,-41.56354627,0,-73.83685617,-51.70786517,30.32407616,-76.5229295,-88.44734393,-100,0,0,-16.07822069,-32.61078622,631.2110092,-100,26.60906392,-18.83460074,-46.62428996,-86.84790089,-56.42603273,0,44.31162313,-45.01968504,FALSE
62,88,서울시,6,-11.65931373,0,14.39393939,0,-56.60233354,-57.79218339,-52.62692772,0,-21.9127086,-49.28988576,-88.65263158,0,305.1074499,38.6,15.1653638,0,-68.13976772,-100,63.48318486,0,-81.61305608,-60.6234414,20.73289218,0,-26.28980559,-47.8092878,8585.95,-100,-68.67739437,0,177.1702128,0,FALSE
63,89,서울시,6,132.8373591,135.9583333,0,0,-100,-46.03826607,53.5064068,0,-3.028185788,-14.02965297,-87.68977096,-69.33835846,0,0,-77.19616742,-40.20170061,-89.56780924,-20.08099634,-97.32214765,0,-100,28.00399002,60.76271186,0,-49.23700203,-14.91263997,-80.19543974,166.9545455,-100,-19.83532934,199.25,-50.57471264,TRUE
64,90,서울시,6,3053.815789,0,-26.07758621,0,13.95836546,0,129.3749383,0,-39.90525878,0,-22.38111701,0,30.82438567,0,-58.36516069,0,-98.58635543,-76.15803815,-30.75788297,0,938.9862617,0,-80.47664294,0,17.12164455,436.3946188,-70.77592433,-100,-94.61463478,0,-74.54545455,0,TRUE
65,91,경기도,6,32.02,0,0,0,-49.45726783,-62.32790989,0,0,-17.79922142,-53.85110146,-70.70588235,0,118.0405405,0,0,0,0,0,0,0,-36.73864586,0,-100,0,-43.93791075,1178.719167,-65.73255814,0,92.33846154,0,-100,0,FALSE
66,92,경기도,6,-49.18225008,108.6312849,0,0,436.4771574,-24.47311888,104.8785519,-82.75119617,-15.24760747,-24.13435736,-39.04195767,0,86.49768161,-42.23423423,-60.36662486,47.28844221,-51.26463611,0,-65,-100,-30.29745042,27.02310718,-54.82791058,787.1153846,172.0735114,-56.60887222,33.27783035,-19.8572184,-19.60684892,-73.14777328,-32.1869552,-92.00352796,FALSE
67,93,부산시,6,0,0,0,0,-74.24447452,0,-100,0,-33.85080252,0,43.20162719,0,5.411048282,0,-20.44152047,0,0,0,0,0,-64.50249712,0,-100,0,54.60651776,0,-23.10287254,0,-89.52916349,0,-100,0,FALSE
68,94,경기도,2,0,0,0,0,0,-87.36032547,0,0,2552.373541,-100,0,0,0,0,0,0,103.6832413,0,-95.20064529,0,-68.8235392,-80.37673642,19.13690069,0,370.97707,-75.62584482,385.6330327,0,-96.5393427,0,65.12979534,0,FALSE
69,96,서울시,2,-100,0,-100,0,-41.35729859,0,-100,0,-27.90473015,0,-99.55154748,0,-100,0,-48.81202805,0,0,0,0,0,-90.6711534,0,139.7839494,0,-51.71422109,0,31.32137031,0,-100,0,-73.11212693,0,TRUE
70,98,서울시,4,-94.6969697,0,-100,0,937.92,-96.61181026,-5.27700831,0,-33.87124636,-97.94344473,291.2937619,0,32.48166548,0,12.55888224,0,-100,0,0,0,-82.14257331,-89.01121305,-100,0,-38.11307376,-73.19885031,-33.47099919,0,-100,0,-79.16894899,-100,TRUE
71,99,경기도,2,-37.12238124,0,0,0,-46.6098813,41.30194232,205.1564012,-46.15384615,-26.70510486,-20.44938098,86.46205958,-100,-25.70550469,-84.6,39.09287257,0,21.36522736,0,-100,0,44.6586852,90.34120735,-83.73897106,0,-39.42094161,-12.17038928,-37.16799058,482.6041667,-56.36683281,0,-64.74136111,0,FALSE
72,100,서울시,2,-95.91053247,0,0,0,-83.99482312,-40,-82.86636809,0,-21.65171775,-54.63112139,9.597170514,-36.37522769,-100,-97.93814433,-100,0,37.3760479,0,0,0,-93.23854416,-100,-81.89763544,0,-65.79939955,-73.27316076,-89.12117521,-99.72192207,-96.06022232,-100,-95.9593038,-100,TRUE
73,101,서울시,2,0,0,0,0,-100,-81.17647059,0,0,-5.218325651,-43.19922881,-100,0,250,0,0,0,0,0,0,0,-100,-58.59375,0,0,10.73058716,19.75336241,14.96610169,0,0,0,0,-100,FALSE
74,102,서울시,6,604.2376682,-28.05755396,-34.9724052,0,764.79,-34.16042781,-41.73879142,0,-23.03673494,-24.78568879,-61.84610206,0,-96.31366374,0,-80.45473623,-0.484003281,-47.94050343,-100,-28.04536521,0,-100,-80.73161898,0,-100,-45.93955316,-70.60170426,-64.38312542,-100,-83.402761,0,-32.93122976,-84.42708333,TRUE
75,103,서울시,6,0,0,0,0,0,-100,-100,0,-100,-98.29683028,-100,0,0,0,0,0,0,0,0,0,0,-57.22222222,-100,0,-93.72599232,-48.4932661,-100,0,-100,0,0,0,TRUE
76,104,서울시,6,0,0,0,0,0,89.31614373,0,0,-100,-40.88681701,0,0,0,-42.55172414,0,-80.57190917,0,-75.95959596,0,0,0,0.646391551,0,0,-22.79411765,-22.24738284,-100,0,0,-58,0,-84.42684766,TRUE
77,106,경기도,6,0,0,0,0,67.67452344,0,-57.2836183,0,-58.60289429,0,41.34774436,0,-67.37173282,0,-88.90489194,0,1.5,0,0,0,227.4913511,-100,47.84588235,0,-30.48114781,-45.72266837,-45.21696678,0,-4.957515382,0,-64.10437949,0,FALSE
78,107,서울시,6,-56.60487672,0,-100,0,-34.4899179,0,-0.720420459,0,69.629853,-100,79.64214092,0,54.73684211,0,-56.83333333,0,-75.90985874,0,140.6849315,0,96.20342501,0,142.5745819,0,-33.23227828,0,-13.90492288,0,-79.17026115,0,-98.43049327,0,FALSE
79,108,서울시,6,0,0,-100,0,16.63766478,0,-25.19675116,0,-22.59622548,-100,25.40147897,0,-50.23409051,0,39.89705882,0,-100,0,0,0,-57.46553002,122.294999,189.2574257,-100,16.72436042,-73.69108345,-29.71191646,-100,-35.09090909,-100,0,-100,FALSE
80,109,경기도,6,0,0,0,0,0,0,0,0,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0,-100,0,0,0,-100,-30.36842105,0,0,-100,0,0,TRUE
81,111,부산시,6,0,-83.88888889,0,0,0,378.8636364,0,0,0,-53.90176784,0,-100,0,-100,0,-100,0,0,0,0,0,-95.22088353,-100,0,0,12.31166895,0,0,0,-90.66666667,0,0,FALSE
82,112,인천시,2,-100,-100,0,0,-81.0166334,-34.47346072,89.97456964,0,30.9166579,8.882437351,59.76604936,0,1576.111842,0,46.65952306,0,0,0,5766.179487,0,207.8913325,-49.55058016,-38.55950055,0,-9.522160824,-28.49344957,297.9887539,0,-37.48214582,0,-60.95459236,-100,FALSE
83,113,서울시,6,-38.48780532,167.1114076,80.76574307,0,29.14359305,-0.288647172,156.5686264,-63.87036543,-47.07332904,-54.7267626,-66.54973019,-73.92468007,4.255335471,0,27.69076081,-63.54268435,-93.36095578,-64.94147157,-100,0,-54.60947407,-48.04997273,1.721800923,847.2755988,-24.05124203,-71.87491395,-57.26949957,-100,-78.59996675,101.2615223,-14.43293886,0,TRUE
84,114,경기도,6,0,0,0,0,573.2840237,-100,-47.72727273,0,-14.50340898,-68.37988369,-26.46824682,0,118.64494,-59.53757225,-46.97761194,-42.87356322,-71.48148148,0,0,0,32.53333333,0,-60.12836647,0,-18.05213493,497.4176072,-89.01693933,0,-99.15321158,0,75.18918919,0,TRUE
85,115,서울시,6,0,0,350.9354839,0,-72.3872702,0,0,0,-31.51407671,0,14.89473368,0,353.0924089,0,-65.02079184,0,-99.88630254,0,-64.77164111,0,-71.50204146,0,-100,0,-38.55578483,0,-39.74992001,0,65.5987378,0,295.4074698,0,FALSE
86,116,서울시,6,0,-100,0,0,0,-100,0,0,0,415.9049104,691.5384615,0,-30,170.6666667,-90.04354136,0,0,0,0,0,0,0,0,0,0,-100,14.31067961,0,0,0,17.28181818,0,TRUE
